Current Team,Last_Name,First_Name,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,City,State_Province,Country
Lake Superior,Barone, Adam,6,Defensemen,Fr,6-1,174,5/6/2004,"Sault Ste. Marie, Ont.",73,,,,Trail,BCHL,Sault Ste. Marie,Ont.,Canada
Lake Superior,Blanchett, Jack,16,Defensemen,So,5-11,185,5/12/2003,"Monroe, Mich.",71,,,,Powell,BCHL,Monroe,Mich.,USA
Lake Superior,Brown, Mike,3,Defensemen,Jr,6-2,209,4/3/2001,"Belmont, Mass.",74,,,,Merrimack,,Belmont,Mass.,USA
Lake Superior,Bushy, Evan,5,Defensemen,So,6-1,195,3/26/2002,"Mankato, Minn.",73,,,,Trail,BCHL,Mankato,Minn.,USA
Lake Superior,Conrad, Jacob,4,Defensemen,Fr,5-11,180,5/18/2002,"Green Bay, Wis.",71,,,,Fairbanks,NAHL,Green Bay,Wis.,USA
Lake Superior,Druskinis, John,0,Defensemen,So,6-2,185,4/10/2002,"Plymouth, Mich.",74,,,,Michigan,,Plymouth,Mich.,USA
Lake Superior,Hindman, Grant,20,Defensemen,Sr,6-0,200,5/16/2002,"Oakland, Mich.",72,,,,Youngstown,USHL,Oakland,Mich.,USA
Lake Superior,Huggins, Bryan,2,Defensemen,Jr,5-11,180,3/26/2002,"Grand Rapids, Mich.",71,,,,Fargo,USHL,Grand Rapids,Mich.,USA
Lake Superior,Schweitzer, Nate,14,Defensemen,Sr,6-0,195,2/21/2002,"Champlin, Minn.",72,,,,Colorado College,NCHC,Champlin,Minn.,USA
Lake Superior,Ahlrik, William,24,Forwards,Fr,6-0,190,9/25/2003,"Tidaholm, Sweden",72,,,,Oklahoma,NAHL,Tidaholm,Sweden,Sweden
Lake Superior,Bakos, Timo,22,Forwards,Sr,6-1,194,7/28/2000,"Augsburg, Germany",73,,,,Starbulls,Oberliga,Augsburg,Germany,Germany
Lake Superior,Batchelder, Carter,18,Forwards,So,5-10,175,2/25/2003,"Savage, Minn.",70,,,,Des Moines,USHL,Savage,Minn.,USA
Lake Superior,Craft, Cole,26,Forwards,Sr,6-2,195,6/29/2001,"North Bay, Ont.",74,,,,Lincoln,USHL,North Bay,Ont.,Canada
Lake Superior,Dahlheimer, Wilson,13,Forwards,Fr,5-9,172,10/9/2003,"Monticello, Minn.",69,,,,Muskegon,USHL,Monticello,Minn.,USA
Lake Superior,Herrington, John,28,Forwards,So,5-11,185,4/19/2002,"Hudson's Hope, B.C.",71,,,,Prince George,BCHL,Hudson's Hope,B.C.,Canada
Lake Superior,Hudak, Hadley,29,Forwards,Fr,6-4,201,6/23/2003,"Canton, Mich.",76,,,,Springfield,NAHL,Canton,Mich.,USA
Lake Superior,Humphrey, Blake,20,Forwards,Sr,5-9,161,1/18/2002,"Syracuse, N.Y.",69,,,,Sacred Heart,AHA,Syracuse,N.Y.,USA
Lake Superior,Levandowski, Luke,17,Forwards,So,6-0,165,9/26/2002,"Rosemount, Minn.",72,,,,Wisconsin,NAHL,Rosemount,Minn.,USA
Lake Superior,Milburn, Reagan,12,Forwards,So,6-0,190,2/13/2003,"Kamloops, B.C.",72,,,,Vernon,BCHL,Kamloops,B.C.,Canada
Lake Superior,Milburn, Connor,9,Forwards,Jr,6-4,180,4/11/2001,"Kamloops, B.C.",76,,,,Chilliwack,BCHL,Kamloops,B.C.,Canada
Lake Superior,Pietila, Everett,18,Forwards,Fr,5-10,185,9/27/2003,"Howell, Mich.",70,,,,Wisconsin,NAHL,Howell,Mich.,USA
Lake Superior,Piku, Branden,7,Forwards,So,5-8,165,8/25/2002,"Harrison Township, Mich.",68,,,,Maryland,NAHL,Harrison Township,Mich.,USA
Lake Superior,Teleguine, Sasha,10,Forwards,So,5-10,180,9/17/2002,"North Attleborough, Mass.",70,,,,Connecticut,HEA,North Attleborough,Mass.,USA
Lake Superior,Tritt, Dawson,11,Forwards,Sr,6-2,180,9/1/2000,"Spokane, Wash.",74,,,,Lone Star,NAHL,Spokane,Wash.,USA
